name,link
Alpine Valley,https://www.onthesnow.com/ohio/alpine-valley/ski-resort.html
Swain,https://www.onthesnow.com/new-york/swain/ski-resort.html
Royal Mountain Ski Area,https://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html
Mt. Jefferson,https://www.onthesnow.com/maine/mt-jefferson/ski-resort.html
Hilltop Ski Area,https://www.onthesnow.com/alaska/hilltop-ski-area/ski-resort.html
Apple Mountain,https://www.onthesnow.com/michigan/apple-mountain/ski-resort.html
Yosemite Ski & Snowboard Area,https://www.onthesnow.com/california/badger-pass/ski-resort.html
Big Boulder,https://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html
Big Snow Resort - Blackjack,https://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html
Ski Blandford,https://www.onthesnow.com/massachusetts/blandford-ski-area/ski-resort.html
Christmas Mountain,https://www.onthesnow.com/wisconsin/christmas-mountain/ski-resort.html
Eagle Rock,https://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html
Holiday Mountain,https://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html
Mt. Baldy,https://www.onthesnow.com/california/mt-baldy/ski-resort.html
Mt. Crescent Ski Area,https://www.onthesnow.com/iowa/mt-crescent-ski-area/ski-resort.html
Mt. Holiday Ski Area,https://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html
Mt. Hood Meadows,https://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html
Norway Mountain,https://www.onthesnow.com/michigan/norway-mountain/ski-resort.html
Snowy Range Ski & Recreation Area,https://www.onthesnow.com/wyoming/snowy-range-ski-recreation-area/ski-resort.html
Squaw Valley Alpine Meadows,https://www.onthesnow.com/california/squaw-valley-usa/ski-resort.html
Teton Pass Ski Resort,https://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html
Timberline Lodge,https://www.onthesnow.com/oregon/timberline-lodge/ski-resort.html
